Name,Created,Tags
1: Éxito y Fracaso de Proyectos,8 de agosto de 2023 9:04,I1
2: Ética en Gestión de Proyectos,8 de agosto de 2023 9:09,I1
4. PMBOK - Conceptos - Valor,8 de agosto de 2023 9:10,I1
5: PMBOK - Principios,24 de agosto de 2023 9:07,I1
5.1 PMBOK - Guia - Dominios - Interesados,31 de agosto de 2023 8:48,I1
5.1.1: PMBOK - Guia - MMA - Interesados,31 de agosto de 2023 8:48,I1
5.2: PMBOK - Dominios - Equipo,31 de agosto de 2023 8:50,I1
5.2.1: PMBOK - Guia - MMA - Equipo,31 de agosto de 2023 8:51,I1
5.3: PMBOK - Dominios - Enfoque,31 de agosto de 2023 8:51,I1
5.3.1: PMBOK - Guia - MMA - Enfoque,31 de agosto de 2023 8:52,I1
Resumen I1,12 de septiembre de 2023 8:39,I1
5.4: PMBOK - Dominios - Planificación,31 de agosto de 2023 8:53,I2
5.4.1: PMBOK - Guia - MMA - Planificación,31 de agosto de 2023 8:53,I2
